date,revenue,cost,customer_id,product_id,category,quantity
1/1/2024,1200,800,C001,P001,Electronics,2
1/2/2024,900,600,C002,P002,Electronics,1
1/3/2024,1500,900,C003,P003,Home,3
1/4/2024,600,500,C001,P002,Electronics,1
1/5/2024,2000,1200,C004,P001,Electronics,4
1/6/2024,300,250,C002,P004,Accessories,2
1/7/2024,1700,1100,C005,P003,Home,3
1/8/2024,400,450,C003,P005,Accessories,1
1/9/2024,2200,1500,C006,P001,Electronics,5
1/10/2024,750,500,C002,P003,Home,2
1/11/2024,2400,1500,C001,P001,Electronics,5
1/12/2024,2100,1400,C001,P001,Electronics,4
1/13/2024,1800,1100,C001,P001,Electronics,3
1/14/2024,1600,1000,C007,P003,Home,3
1/15/2024,900,700,C008,P002,Electronics,2
1/16/2024,450,480,C004,P005,Accessories,1
1/17/2024,1300,900,C009,P003,Home,2
1/18/2024,2800,1700,C001,P001,Electronics,6
1/19/2024,700,500,C010,P004,Accessories,2
1/20/2024,600,620,C011,P005,Accessories,1
